"","x"
"V1400",-74.0059728
"V1401",-155.6658568
"V1402",-77.1872036
"V1403",-90.0489801
"V1404",-116.3915131
"V1405",-71.5822837
"V1406",-122.435965
"V1407",-89.4012302
"V1408",-88.7878678
"V1409",-71.5723953
"V1410",-87.9064736
"V1411",139.6917064
"V1412",20.5937585
"V1413",16.3738189
"V1414",-86.5804473
"V1415",-81.5157535
"V1416",-87.6956907
"V1417",-74.6049061
"V1418",-84.3879824
"V1419",-105.7820674
"V1420",-106.6055534
"V1421",-79.6903316
"V1422",-73.9867678
"V1423",-85.323214
"V1424",-79.6441198
"V1425",-116.419389
"V1426",-79.4084652
"V1427",-79.3831843
"V1428",-119.4179324
"V1429",-95.712891
"V1430",-118.0954317
"V1431",-77.5574835
"V1432",-89.4012302
"V1433",-118.2436849
"V1434",-95.712891
"V1435",-86.7816016
"V1436",-75.1969346
"V1437",-82.9987942
"V1438",-111.9260519
"V1439",-89.3985283
"V1440",-82.9987942
"V1441",-86.01335
"V1442",-75.6971931
"V1443",-111.8910474
"V1444",-95.712891
"V1445",-85.7584557
"V1446",-84.3879824
"V1447",-81.4403898
"V1448",90.4125181
"V1449",-123.0350963
"V1450",-69.4454689
"V1451",-75.1652215
"V1452",-74.4056612
"V1453",-89.4012302
"V1454",-95.712891
"V1455",-82.907123
"V1456",-88.4153847
"V1457",-79.3462036
"V1458",-118.2436849
"V1459",-83.555212
"V1460",-75.1969346
"V1461",-82.4571776
"V1462",-77.1527578
"V1463",-102.4107493
"V1464",-76.878471
"V1465",-88.7878678
"V1466",-77.0368707
"V1467",-82.907123
"V1468",-77.0947092
"V1469",-85.7824834
"V1470",72.9086129
"V1471",18.0685808
"V1472",-77.0909809
"V1473",-98.8138762
"V1474",-73.567256
"V1475",-74.4056612
"V1476",-77.1945247
"V1477",-77.0368707
"V1478",-83.2841304
"V1479",-97.2736137
"V1480",-73.9712488
"V1481",80.771797
"V1482",-74.0059728
"V1483",-94.7335709
"V1484",-102.4107493
"V1485",-95.712891
"V1486",-71.0588801
"V1487",-95.712891
"V1488",-77.0061218
"V1489",-68.9321185
"V1490",-77.0947092
"V1491",-81.5157535
"V1492",-81.4035059
"V1493",-122.2403966
"V1494",-80.9450759
"V1495",-87.9703461
"V1496",77.5945627
"V1497",-99.9018131
"V1498",-0.1277583
"V1499",-80.2481666
"V1500",-77.0368707
"V1501",-94.5785667
"V1502",-94.4191177
"V1503",-117.1610838
"V1504",-79.3831843
"V1505",-122.4194155
"V1506",-86.902298
"V1507",-118.2436849
"V1508",-99.9018131
"V1509",-86.7816016
"V1510",-73.9441579
"V1511",-80.1917902
"V1512",-121.8863286
"V1513",-74.0059728
"V1514",-74.4056612
"V1515",-74.0059728
"V1516",-78.8783689
"V1517",-74.0059728
"V1518",-95.712891
"V1519",-92.8103551
"V1520",-84.9877094
"V1521",-80.3047846
"V1522",-122.0575434
"V1523",-84.8902382
"V1524",-95.712891
"V1525",-79.9895022
"V1526",-95.712891
"V1527",0.121817
"V1528",-89.9839935
"V1529",2.213749
"V1530",-70.2553259
"V1531",-88.7878678
"V1532",-71.1166601
"V1533",-69.4454689
"V1534",-77.6109219
"V1535",-74.0059728
"V1536",-71.3824374
"V1537",-106.346771
"V1538",-114.0530065
"V1539",-95.712891
"V1540",-77.5275463
"V1541",-73.087749
"V1542",-84.2963123
"V1543",-81.3459405
"V1544",-110.3625658
"V1545",-71.5996137
"V1546",-93.268225
"V1547",-95.3698028
"V1548",-78.5097228
"V1549",-106.0838074
"V1550",-95.712891
"V1551",-71.542969
"V1552",21.824312
"V1553",-84.3640829
"V1554",-72.9278835
"V1555",-80.6081089
"V1556",21.4208895
"V1557",-0.1277583
"V1558",-66.6140616
"V1559",-76.805345
"V1560",9.501785
"V1561",-120.7401385
"V1562",-97.307347
"V1563",-116.419389
"V1564",-118.2436849
"V1565",75.6549706
"V1566",101.686855
