"","x"
"user_id639","342066324"
"user_id640","59577077"
"user_id641","227698921"
"user_id642","2557166011"
"user_id643","55590914"
"user_id644","24957138"
"user_id645","3615074896"
"user_id646","605165417"
"user_id647","114288515"
"user_id648","2429552396"
"user_id649","971429286321311744"
"user_id650","910189877076955136"
"user_id651","2447584416"
"user_id652","373527991"
"user_id653","336629289"
"user_id654","139908271"
"user_id655","19774865"
"user_id656","2990432049"
"user_id657","4718592855"
"user_id658","138467540"
"user_id659","2652448314"
"user_id660","236484423"
"user_id661","2193377983"
"user_id662","17343424"
"user_id663","14577112"
"user_id664","61728729"
"user_id665","17057487"
"user_id666","838575535429124097"
"user_id667","19595630"
"user_id668","1048610173"
"user_id669","3356797913"
"user_id670","109508613"
"user_id671","1873256450"
"user_id672","1095615084"
"user_id673","2610136596"
"user_id674","798442806"
"user_id675","19258189"
"user_id676","17509945"
"user_id677","828289817582587905"
"user_id678","701326392"
"user_id679","15770208"
"user_id680","869967070984851457"
"user_id681","785631661580922882"
"user_id682","3013655124"
"user_id683","885930176051281920"
"user_id684","505951105"
"user_id685","115171331"
"user_id686","24768948"
"user_id687","808424449552896000"
"user_id688","21729929"
"user_id689","130324421"
"user_id690","190337035"
"user_id691","59371239"
"user_id692","418328703"
"user_id693","2862675110"
"user_id694","1055131158"
"user_id695","40901712"
"user_id696","2209247298"
"user_id697","78099206"
"user_id698","880996723434369025"
"user_id699","183033795"
"user_id700","20020658"
"user_id701","28435461"
"user_id702","836472721840164866"
"user_id703","756497175081721857"
"user_id704","2359713483"
"user_id705","3853074935"
"user_id706","922227253919883264"
"user_id707","2211060810"
"user_id708","398400514"
"user_id709","309815449"
"user_id710","217112314"
"user_id711","1921285998"
"user_id712","125322205"
"user_id713","20957494"
"user_id714","2725846793"
"user_id715","2385359924"
"user_id716","380680185"
"user_id717","527017518"
"user_id718","1964936035"
"user_id719","402091536"
"user_id720","899974992"
"user_id721","2376752431"
"user_id722","2460179640"
"user_id723","16933512"
"user_id724","910520760166436864"
"user_id725","60506242"
"user_id726","1434661777"
"user_id727","73937639"
"user_id728","100513826"
"user_id729","969284574348849152"
"user_id730","3240758831"
"user_id731","970706052"
"user_id732","23993653"
"user_id733","2966591099"
"user_id734","113052624"
"user_id735","1918981"
"user_id736","36402257"
"user_id737","127403708"
"user_id738","107191237"
"user_id739","733804814"
"user_id740","2946881245"
"user_id741","3030516587"
"user_id742","17045445"
"user_id743","2870874383"
"user_id744","892844295018995712"
"user_id745","1537881145"
"user_id746","2835337844"
"user_id747","333402741"
"user_id748","905146660321406976"
"user_id749","89710488"
"user_id750","2203849629"
"user_id751","2230385348"
"user_id752","830242116928413696"
"user_id753","962765306128089088"
"user_id754","37512974"
"user_id755","148798010"
"user_id756","1385225258"
