"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x972218884047728640",2018-03-09 21:13:39,"x17601174","SpecNewsRDU","RT @wxcrum: Finally, a solid shift of flu reports across the country.  NC, however, still widespread reports of flu. #cltwx #ncwx #wncwx #T…","SocialNewsDesk",,,,FALSE,TRUE,0,5,"cltwx ncwx wncwx",,,,,,,,,,,,,"x298085935","wxcrum","en",,,"x972214758031142912","Finally, a solid shift of flu reports across the country.  NC, however, still widespread reports of flu. #cltwx #ncwx #wncwx #Triadwx #SpecNewsCLT #SpecNewsTriad https://t.co/E5OciXBYC4",,,,,,,,,
"x972218884022562817",2018-03-09 21:13:39,"x17601086","SpecNewsCLT","RT @wxcrum: Finally, a solid shift of flu reports across the country.  NC, however, still widespread reports of flu. #cltwx #ncwx #wncwx #T…","SocialNewsDesk",,,,FALSE,TRUE,0,5,"cltwx ncwx wncwx",,,,,,,,,,,,,"x298085935","wxcrum","en",,,"x972214758031142912","Finally, a solid shift of flu reports across the country.  NC, however, still widespread reports of flu. #cltwx #ncwx #wncwx #Triadwx #SpecNewsCLT #SpecNewsTriad https://t.co/E5OciXBYC4",,,,,,,,,
"x972218884022513665",2018-03-09 21:13:39,"x17601158","SpecNewsTriad","RT @wxcrum: Finally, a solid shift of flu reports across the country.  NC, however, still widespread reports of flu. #cltwx #ncwx #wncwx #T…","SocialNewsDesk",,,,FALSE,TRUE,0,5,"cltwx ncwx wncwx",,,,,,,,,,,,,"x298085935","wxcrum","en",,,"x972214758031142912","Finally, a solid shift of flu reports across the country.  NC, however, still widespread reports of flu. #cltwx #ncwx #wncwx #Triadwx #SpecNewsCLT #SpecNewsTriad https://t.co/E5OciXBYC4",,,,,,,,,
"x972218842658361344",2018-03-09 21:13:29,"x1337672149","H7N9Influenza","RT @marlene_mmm: Interesting spike in flu vaccines once it made the news that the #fluseason was looking bad in San Diego.   
About 140,000…","Flamingo for Android",,,,FALSE,TRUE,0,5,"fluseason",,,,,,,,,,,,,"x875835868564529152","marlene_mmm","en",,,"x971972066621583362","Interesting spike in flu vaccines once it made the news that the #fluseason was looking bad in San Diego.   
About 140,000 more vaccines this year than last.
Wondering if media reporting of predicting a bad flu season earlier would make a difference.  #flu #vaccines @MackayIM https://t.co/xmc1DU9eLT",,,,,,,,,
"x972218835146338304",2018-03-09 21:13:27,"x822520578804482052","publichealthPR1","RT @CDCgov: #Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is e…","Twitter for Android",,,,FALSE,TRUE,0,41,"Flu",,,,,,,,,,,,,"x146569971","CDCgov","en",,,"x972208967245017088","#Flu activity has peaked and is down significantly for the third consecutive week, but flu activity is still elevated, and is expected to continue for several more weeks. More from this week’s latest #FluView report: https://t.co/qdkfE6dlof https://t.co/pSK640a53e",,,,,,,,,
"x972218772760289280",2018-03-09 21:13:13,"x114949021","patbishop100","A woman is suing her former job after they forced her to get a flu shot against her religious beliefs https://t.co/kuZEEJp4td","Facebook",,,,FALSE,FALSE,0,0,,,"fb.me/GD3uLAVY","https://t.co/kuZEEJp4td","https://fb.me/GD3uLAVY",,,,,,,,,,,"en",,,,,,,,,,,,,
"x972218704128770048",2018-03-09 21:12:56,"x55027463","Shiftfmf","RT @AFHSBPAGE: U.S. service members in #Europe have been less likely than their counterparts elsewhere to get the #Flu, but Army health off…","SwEepzZ8",,,,FALSE,TRUE,0,1,"Europe Flu",,,,,,,,,,,,,"x1117395169","AFHSBPAGE","en",,,"x972215637039820802","U.S. service members in #Europe have been less likely than their counterparts elsewhere to get the #Flu, but Army health officials still recommend getting the flu #Vaccine. Read more:
https://t.co/CezuulDzSs",,,,,,,,,
"x972218669857234944",2018-03-09 21:12:48,"x482657695","EmileyParker","@witchywomannnn I think i have the flu :(","Twitter for iPhone","x972210822356271105","x857059789347708932","witchywomannnn",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x857059789347708932","witchywomannnn","en",,,,,,,,,,,,,
"x972218660499570689",2018-03-09 21:12:46,"x50049643","GoldenLamb","In a Gina Mazzio RN #medicalthriller it's never just a thriller; or even just a hospital thriller. It’s likely to be a conspiracy, a kidnapping, something really #big.
BONE DUST: #Flu epidemic is cover for a #killing #phlebotomist. 
HE DRAINS 'EM DRY.
https://t.co/V63ZJRlKUu https://t.co/ULCMn1F5IL","Twitter Web Client",,,,FALSE,FALSE,0,0,"medicalthriller big Flu killing phlebotomist",,"amazon.com/gp/product/B01…","https://t.co/V63ZJRlKUu","https://www.amazon.com/gp/product/B013YPUKUM/ref=series_rw_dp_sw","http://pbs.twimg.com/media/DX4CpwBU0AAffHD.jpg","https://t.co/ULCMn1F5IL","https://twitter.com/GoldenLamb/status/972218660499570689/photo/1","photo","http://pbs.twimg.com/media/DX4CpwBU0AAffHD.jpg","https://t.co/ULCMn1F5IL","https://twitter.com/GoldenLamb/status/972218660499570689/photo/1",,,,"en",,,,,,,,,,,,,
"x972218639830142976",2018-03-09 21:12:41,"x2999907664","LNHARS175","Flu season is still going on strong! https://t.co/aMDupwM0pp","Facebook",,,,FALSE,FALSE,0,0,,,"fb.me/88VaDFFDL","https://t.co/aMDupwM0pp","https://fb.me/88VaDFFDL",,,,,,,,,,,"en",,,,,,,,,,,,,
"x972218580380147712",2018-03-09 21:12:27,"x297965399","chicagoinformer","CDC Says Flu Season Not Over Yet https://t.co/TMNwIJO5wA https://t.co/FqJqaRcU5g","WordPress.com",,,,FALSE,FALSE,0,0,,,"chicagoinformer.com/488383/cdc-say…","https://t.co/TMNwIJO5wA","https://chicagoinformer.com/488383/cdc-says-flu-season-not-over-yet/","http://pbs.twimg.com/media/DX4DpVkVwAAzXvF.jpg","https://t.co/FqJqaRcU5g","https://twitter.com/chicagoinformer/status/972218580380147712/photo/1","photo","http://pbs.twimg.com/media/DX4DpVkVwAAzXvF.jpg","https://t.co/FqJqaRcU5g","https://twitter.com/chicagoinformer/status/972218580380147712/photo/1",,,,"en",,,,,,,,,,,,,
"x972218469105242112",2018-03-09 21:12:00,"x2516075546","buddymailstg","Check out Nature's Grocer for all your natural remedies for the flu &amp; cold season and for all your natural products! 
#naturesgrocer #CedarCity #naturalremedies #shopsmall #buddymail https://t.co/4Bu5gaE18E","TweetDeck",,,,FALSE,FALSE,0,0,"naturesgrocer CedarCity naturalremedies shopsmall buddymail",,,,,"http://pbs.twimg.com/media/DXvwmBxVwAAn1BG.jpg","https://t.co/4Bu5gaE18E","https://twitter.com/buddymailstg/status/972218469105242112/photo/1","photo","http://pbs.twimg.com/media/DXvwmBxVwAAn1BG.jpg","https://t.co/4Bu5gaE18E","https://twitter.com/buddymailstg/status/972218469105242112/photo/1",,,,"en",,,,,,,,,,,,,
"x972218468178255872",2018-03-09 21:12:00,"x122419634","OhioDeptOfAging","Why the Flu is Often Missed in Older Adults (&amp; What to Do About This). #OHFlu #WellBeyond60 https://t.co/h2TWqUUtJA https://t.co/CZj6uIKfkg","TweetDeck",,,,FALSE,FALSE,0,0,"OHFlu WellBeyond60",,"betterhealthwhileaging.net/avoiding-misse…","https://t.co/h2TWqUUtJA","https://betterhealthwhileaging.net/avoiding-missed-flu-symptoms-diagnosis-in-aging/","http://pbs.twimg.com/media/DX2RHP7W4AAhZai.jpg","https://t.co/CZj6uIKfkg","https://twitter.com/OhioDeptOfAging/status/972218468178255872/photo/1","photo","http://pbs.twimg.com/media/DX2RHP7W4AAhZai.jpg","https://t.co/CZj6uIKfkg","https://twitter.com/OhioDeptOfAging/status/972218468178255872/photo/1",,,,"en",,,,,,,,,,,,,
"x972218461656141824",2018-03-09 21:11:58,"x3982877112","LNKhealth","#LNK Lancaster County Weekly Flu Summary Report
https://t.co/7gEt35opoi","Twitter Web Client",,,,FALSE,FALSE,0,0,"LNK",,"lincoln.ne.gov/city/health/pd…","https://t.co/7gEt35opoi","http://lincoln.ne.gov/city/health/pde/flu/WeeklyFluSummary.pdf",,,,,,,,,,,"en",,,,,,,,,,,,,
"x972218446028079105",2018-03-09 21:11:55,"x894635802310914049","DuskeeeyRBLX","@AsynapticGD My mom got the flu shot also, she got the flu anyway. Btw, if you have a fever, you probably have the flu.","Twitter Web Client","x972217703086817283","x896225743855906817","AsynapticGD",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x896225743855906817","AsynapticGD","en",,,,,,,,,,,,,
"x972218428802158592",2018-03-09 21:11:51,"x222972126","BeMoreWestmo","@trophyguy Wow! I actually don't believe in getting flu shots. I think people should have a right to then if they choose, but I won't do it. I think @RaceforNY22 and I got into a tangle about it on here once. I don't trust the adjuvant squalene. I believe it causes autoimmune illness.","Twitter for Android","x972217542583508992","x16220154","trophyguy",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x16220154 885557329323839488","trophyguy RaceforNY22","en",,,,,,,,,,,,,
"x972218328474406913",2018-03-09 21:11:27,"x1571298859","UrgentCareTN","RT @CDCFlu: #FluFactFriday: A 2017 study found that flu vaccination can reduce the risk of flu-associated death in children. Read more abou…","Twitter for iPhone",,,,FALSE,TRUE,0,56,"FluFactFriday",,,,,,,,,,,,,"x16616061","CDCFlu","en",,,"x972110072930295808","#FluFactFriday: A 2017 study found that flu vaccination can reduce the risk of flu-associated death in children. Read more about other flu vaccine benefits here: https://t.co/PFKM6xONwd. https://t.co/6t4LI60nsm",,,,,,,,,
